m,mUK,mEU,mW,gammaM,gammaMUK,gammaMEU,gammaMW
0.00118236062805034,0.950392503369575,0.0248037483152126,0.0248037483152126,0.00107767587952661,0.799541521815067,0.0027999518679463,0.0027999518679463
0.0351529108025117,0.977404357387869,0.0112978213060658,0.0112978213060658,0.0510828932594126,0.859301640177099,0.00133278869602206,0.00133278869602206
0.00973049364210147,0.95892966383777,0.0205351680811148,0.0205351680811148,0.00783449654876255,0.815718618287368,0.00234394335874127,0.00234394335874127
0.00436127440525604,0.994137701858968,0.00293114907051573,0.00293114907051573,0.00530093835387815,0.924946108358317,0.000365934217048471,0.000365934217048471
0.030845498783455,1,0,0,0.0268541127329979,1,0,0
0.00429406244048401,1,0,0,0.00211865764173535,1,0,0
0.00571914110741426,1,0,0,0.00402567637087144,1,0,0
0.00251249483894206,0.996519317005937,0.00174034149703135,0.00174034149703135,0.00151146800477622,0.94146900952786,0.000220622607043234,0.000220622607043234
0.034114586942762,1,0,0,0.0716441167641988,1,0,0
0.107963741457137,1,0,0,0.0213246566362426,1,0,0
0.018813043938598,0.99949341393269,0.000253293033655141,0.000253293033655141,0.00884831617810613,0.989915805917905,6.3879350368967e-06,6.3879350368967e-06
0.0990830653355752,0.999495910855687,0.00025204457215665,0.00025204457215665,0.0427245830925118,0.989940513140581,6.35659217617406e-06,6.35659217617406e-06
0.0461893214216509,1,0,0,0.0364938245357717,1,0,0
0.0397551774718894,0.997910114987326,0.00104494250633725,0.00104494250633725,0.0229889933242657,0.979660864543423,2.61213521297375e-05,2.61213521297375e-05
0.029550152895811,0.998850170350469,0.000574914824765727,0.000574914824765727,0.0143166493926904,0.98486071716741,1.44343389126124e-05,1.44343389126124e-05
0.0699896741756161,0.999522694111197,0.000238652944401568,0.000238652944401568,0.0388062502154946,0.990209538482066,6.02032818594996e-06,6.02032818594996e-06
0.0219665358201892,0.992302936557605,0.00384853172119747,0.00384853172119747,0.00803948257780977,0.961403739300439,9.49457488826036e-05,9.49457488826036e-05
0.00659759985536845,0.997825709408099,0.00108714529595045,0.00108714529595045,0.00377830901017432,0.979259688586552,2.71675016407495e-05,2.71675016407495e-05
0.0162759474484889,0.996642153649663,0.00167892317516851,0.00167892317516851,0.0052553152437823,0.974308074191604,4.17933127603613e-05,4.17933127603613e-05
0.0240527978702472,0.997490208114006,0.00125489594299708,0.00125489594299708,0.0111282232060826,0.977739080500528,3.13213860157008e-05,3.13213860157008e-05
0.0289963503649635,1,0,0,0.00931314930708263,1,0,0
0.0154175323963708,1,0,0,0.00280634793622589,1,0,0
0.0364543010127647,1,0,0,0.00946653485573878,1,0,0
0.0207009527231639,0.996825887845657,0.00158705607717136,0.00158705607717136,0.00469094050302496,0.975009707896206,3.95276347173458e-05,3.95276347173458e-05
0.00111805661432129,1,0,0,0.000866240385609221,1,0,0
