sic64,total_assets_2016,total_assets_2017,total_assets_2018,total_assets_2019,total_assets_2020,total_assets_2021,total_liabilities_2016,total_liabilities_2017,total_liabilities_2018,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,net_assets_2016,net_assets_2017,net_assets_2018,net_assets_2019,net_assets_2020,net_assets_2021
1,26684.4632599337,27355.3991155461,NA,36684.1656370651,37675.7570220499,NA,-21222.66434463178,-20067.43194329883,NA,-33322.74420636497,-32478.77712734659,NA,47907.12760456548,47422.83105884493,NA,70006.90984343007,70154.5341493965,NA
1,53261.088,53990.053,59154.681,61056.778,49360.541,NA,-43900.718,-44546.453,-48896.087999999996,-50235.734000000004,-39332.532,NA,97161.80600000001,98536.506,108050.769,111292.512,88693.073,NA
1,20867,34784,36688,36535,33664,NA,-10063,-13841,-16781,-17210,-15375,NA,30930,48625,53469,53745,49039,NA
1,63643,58846,45887,46290,50182,NA,-62350,-57260,-44116,-44589,-48486,NA,125993,116106,90003,90879,98668,NA
1,51564,46717,59145,61668,52468,NA,-21730,-16957,-31111,-34200,-25963,NA,73294,63674,90256,95868,78431,NA
1,72451.619,76484.684,79098.683,81084.18,87720.351,NA,-34471.727,-29724.302,-25586.817000000003,-26434.305,-33627.729999999996,NA,106923.346,106208.98599999999,104685.5,107518.48499999999,121348.08099999999,NA
5,19951.449312826,23553.3329705375,26708.0509537857,28223.415933333,34528.654364574,NA,-3564.2603980451636,-3442.9535422875892,-3753.691661687832,-3574.303952122441,-3793.9344552588,NA,23515.709710871164,26996.28651282509,30461.742615473533,31797.71988545544,38322.5888198328,NA
1,41273.749,42456.547,42667.466,42731.4,38890.257,NA,-16227.687,-16332.636999999999,-15918.569,-15308.826000000001,-13186.54,NA,57501.436,58789.183999999994,58586.035,58040.226,52076.797,NA
1,49961.682,48961.906,52562.398,53849.262,48021.913,NA,-27387.453999999998,-26155.309999999998,-28362.555,-31599.654000000002,-27534.352,NA,77349.136,75117.216,80924.95300000001,85448.916,75556.265,NA
1,4517.884,4348.389,4387.004,5451.192,5882.589,NA,-4003.292,-3930.724,-4097.999,-4776.082,-3819.8779999999997,NA,8521.176,8279.113000000001,8485.003,10227.274000000001,9702.467,NA
1,16313.325,18282.696,20645.314,20927.635,18682.505,NA,-4787.057000000001,-5079.894,-5747.008,-5993.12,-5471.567,NA,21100.382,23362.59,26392.322,26920.754999999997,24154.072,NA
1,92042,90571,118591,102129,141324,NA,-51614,-48774,-59740,-41227,-56579,NA,143656,139345,178331,143356,197903,NA
41,43571.069,54496.888,57287.167,59997.354,60368.628,NA,-26032.684999999998,-34585.397,-34021.501000000004,-33550.318,-31313.593,NA,69603.754,89082.285,91308.668,93547.67199999999,91682.22099999999,NA
1,30164.604,35923.276,37033.787,35104.01,37492.056,34808.5,-14936.872,-21408.099,-22907.242,-22458.626999999997,-25926.461,-24016.456000000002,45101.475999999995,57331.375,59941.028999999995,57562.637,63418.51699999999,58824.956000000006
1,27594.477,31824.71,30536.48,28222.092,30225.107,24595.732,-17472.407,-24383.657,-26907.034,-26230.337,-30935.763,-24669.884000000002,45066.884,56208.367,57443.513999999996,54452.429000000004,61160.869999999995,49265.616
1,34415.115,37439.625,48884.542,53943.026,63965.25,NA,-15391.152000000002,-15060.949,-19091.423,-20645.521,-19203.066,NA,49806.267,52500.574,67975.965,74588.54699999999,83168.31599999999,NA
5,5775.809,6940.766,7449.187,7003.752,6814.279,NA,-4564.137,-5476.862,-5737.5779999999995,-5240.583,-5575.634,NA,10339.946,12417.628,13186.765,12244.335,12389.913,NA
1,79761.159,84170.117,88840.533,91277.975,94707.957,NA,-7591.74,-6969.334,-7348.653,-6236.047,-6352.87,NA,87352.899,91139.451,96189.186,97514.02200000001,101060.82699999999,NA
1,7463.396,7376.489,8501.016,9964.728,9534.21,NA,-5308.797,-4968.334,-5854.864,-7182.9259999999995,-6446.228,NA,12772.193,12344.823,14355.88,17147.654,15980.437999999998,NA
1,11235.838,11293.441,12335.058,15233.337,14948.469,NA,-5337.616,-4922.5779999999995,-5492.0419999999995,-7664.5,-7053.366,NA,16573.453999999998,16216.019,17827.1,22897.837,22001.835,NA
1,18024,19898,22133,25073,29088,NA,-4616,-5254,-3926,-6378,-8646,NA,22640,25152,26059,31451,37734,NA
1,17222.648,17451.15,20214,24497,23493,NA,-6752.921,-8024.671,-13078,-19183,-19678,NA,23975.569000000003,25475.821000000004,33292,43680,43171,NA
1,134089,131514,136958,117909,91931,NA,-73373,-73046,-76604,-66056,-61237,NA,207462,204560,213562,183965,153168,NA
1,33991.3645231336,25057.9926288189,28564.7333702974,28689.0002666515,29036.2367713389,NA,-9809.8426032955,-14041.81417758696,-15875.688843575921,-15303.87391313274,-14648.548308634194,NA,43801.2071264291,39099.80680640586,44440.42221387332,43992.87417978424,43684.785079973095,NA
1,33359,42245,54769,56286,56463,NA,-7186,-10882,-11319,-15537,-15034,NA,40545,53127,66088,71823,71497,NA
1,22723.518,25085.786,26400.324,28454.369,30568.707,NA,-9430.163,-11392.592999999999,-11614.659,-11840.339,-13947.52,NA,32153.681,36478.379,38014.983,40294.708,44516.227,NA
1,23475,29952,31151,39771,43602,NA,-8555,-14864,-15791,-19222,-22240,NA,32030,44816,46942,58993,65842,NA
1,19354.91,21104.787,21890.185,30099.35,25024.857,42190.982,-15484.701000000001,-16282.591,-16001.129,-24093.817,-18506.17,-34977.521,34839.611000000004,37387.378,37891.314,54193.167,43531.027,77168.503
29,17770.95,17621.252,19299.357,20914.433,23625.069,NA,-8352.476,-7407.471,-6404.959,-7046.84,-7406.098,NA,26123.426,25028.722999999998,25704.316,27961.273,31031.167,NA
22,15550.492,17839.245,22291.123,21745.772,20051.446,NA,-3756.68,-5458.994,-9655.039,-8695.28,-8244.958,NA,19307.172,23298.238999999998,31946.162,30441.052000000003,28296.404000000002,NA
1,16415.927,19236.967,20620.365,24198.524,31205.985,NA,-7543.076,-8741.904,-8201.876,-10352.468,-15374.099,NA,23959.003,27978.871,28822.241,34550.992,46580.084,NA
1,12185.65,17105.53,18343.446,20005.722,22679.098,NA,-1862.786,-3640.931,-3803.475,-3792.867,-4528.421,NA,14048.436,20746.461,22146.921,23798.589,27207.519,NA
31,61680,79203,89432,95362,98098,NA,-29072,-42819,-48498,-50741,-51238,NA,90752,122022,137930,146103,149336,NA
1,NA,NA,NA,63915.092,68138.786,NA,NA,NA,NA,-43777.753,-46037.654,NA,NA,NA,NA,107692.845,114176.44,NA
1,33599.002,32407.296,34740.109,33906.709,35178.815,NA,-32399.611,-27875.102,-25874.317,-22396.207,-21905.031,NA,65998.613,60282.398,60614.42599999999,56302.916,57083.846000000005,NA
54,27020.3082063982,30851.9318862396,35393.3155311217,38465.1587209031,43156.3045739431,NA,-21114.5570120871,-24273.69522475437,-26971.4931089268,-28716.61560193211,-31100.201422437232,NA,48134.8652184853,55125.62711099397,62364.8086400485,67181.7743228352,74256.50599638034,NA
1,0.003,31681.65,35949.79,40483.506,40385.585,NA,0,-26968.657,-29130.853000000003,-30774.538,-30069.411,NA,0.003,58650.307,65080.643000000004,71258.044,70454.996,NA
1,13132.96,14512.403,16472.471,20458.399,18468.668,NA,-7088.0199999999995,-8217.616,-10243.817,-13582.724,-11811.619,NA,20220.98,22730.019,26716.288,34041.123,30280.287000000004,NA
1,6451,10129,9430,9409,10834,NA,-4392,-8164,-7296,-7709,-9162,NA,10843,18293,16726,17118,19996,NA
1,22648,25625,19421,24339.908,33585.861,NA,-15666,-21243,-15121,-18432.662,-27624.894,NA,38314,46868,34542,42772.57,61210.755,NA
1,4943.73,9502.527,26017.896,31146.212,35334.884,NA,-1802.9730000000002,-4888.947,-14451.476,-16171.05,-19030.655,NA,6746.7029999999995,14391.474,40469.372,47317.262,54365.539,NA
44,292129,313428,315389,320586,334387,NA,-24669,-21310,-20798,-19742,-23530,NA,316798,334738,336187,340328,357917,NA
