sic64,total_assets_2016,total_assets_2017,total_assets_2018,total_assets_2019,total_assets_2020,total_assets_2021,total_liabilities_2016,total_liabilities_2017,total_liabilities_2018,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,net_assets_2016,net_assets_2017,net_assets_2018,net_assets_2019,net_assets_2020,net_assets_2021
1,7881.336,8280.9,8363.698,7090.222,8226.022,NA,-3247.6530000000002,-3285.6,-2950.3669999999997,-3403.0989999999997,-4182.812,NA,11128.989000000001,11566.5,11314.065,10493.321,12408.834,NA
1,3997.263,4613.571,5367.848,5443.989,5083.596,5419.982,-2592.193,-3445.431,-3831.67,-4331.436,-3988.092,-4546.263,6589.456,8059.002,9199.518,9775.425,9071.688,9966.244999999999
1,5760.95002173656,7352.24371126188,8088.09053764563,7948.65304809485,8061.10009846096,NA,-4426.472930580595,-5228.675211146661,-5172.432946306935,-4061.754626343246,-3324.97616703827,NA,10187.422952317156,12580.918922408542,13260.523483952566,12010.407674438096,11386.07626549923,NA
5,NA,6586.944,5592.363,3735.772,3043.562,2578.877,NA,-8877.981,-5999.5599999999995,-3515.6620000000003,-2730.263,-1705.711,NA,15464.925,11591.922999999999,7251.434,5773.825,4284.588
1,10696.166,10085.299,9124.457,9952.072,8813.533,NA,-6982.439,-6362.537,-5635.451,-6866.595,-5990.067,NA,17678.605,16447.836000000003,14759.908,16818.667,14803.599999999999,NA
1,16354,16421,15605,10693,6009,NA,-7160,-9771,-9637,-8705,-7550,NA,23514,26192,25242,19398,13559,NA
1,15977.79,16712.715,16206.977,15714.792,16757.262,NA,-8370.377,-8037.566000000001,-6901.367,-5661.102,-5962.923000000001,NA,24348.167,24750.281000000003,23108.344,21375.894,22720.184999999998,NA
1,601.025289265883,2271.7884327318,3645.88063909333,4761.26934067022,6698.57176999843,NA,-508.91538791307704,-369.683964472353,-2956.749739962427,-3635.38921591387,-5124.46221201143,NA,1109.94067717896,2641.4723972041534,6602.630379055758,8396.65855658409,11823.03398200986,NA
1,15406.555,13767.514,15350.131,17233.36,NA,NA,-13295.446,-8949.088,-9752.439,-10827.039,NA,NA,28702.001,22716.602,25102.57,28060.399,NA,NA
1,12775.122,15865.906,15165.624,16977.095,16266.303,NA,-12233.787,-15429.150000000001,-14654.509999999998,-17854.814,-18185.595,NA,25008.909,31295.056000000004,29820.134,34831.909,34451.898,NA
1,4715.86,5416.626,5891.237,5193.837,7228.909,NA,-4551.055,-5333.637000000001,-5371.612999999999,-4790.09,-6892.360000000001,NA,9266.915,10750.263,11262.849999999999,9983.927,14121.269,NA
36,2680,NA,2818,2901,3259,NA,-2569,NA,-3819,-4302,-5433,NA,5249,NA,6637,7203,8692,NA
1,5965.45417180867,6968.25767931011,8978.61802322363,NA,NA,NA,-2907.485940535141,-3631.784085326875,-4787.344915604866,NA,NA,NA,8872.940112343811,10600.041764636984,13765.962938828496,NA,NA,NA
1,5701.741,5792.15,6307.143,6463.64,5530.073,5728.025,-2044.385,-1947.443,-2016.419,-2050.446,-1580.3220000000001,-1914.195,7746.126,7739.593,8323.562,8514.086,7110.395,7642.219999999999
1,14938.583,14804.657,14896.625,14446.221,15082.961,NA,-3240.518,-3398.549,-3277.81,-3561.312,-3728.732,NA,18179.101000000002,18203.206,18174.435,18007.533,18811.693,NA
1,6500.203,6490.318,6316.188,5414.106,4771.554,NA,-6029.815,-5990.186,-5804.499,-4867.722,-4321.411,NA,12530.018,12480.504,12120.687,10281.828,9092.965,NA
1,18102.496,18274.932,20226.814,19173.02,20749.764,22066.109,-8126.493,-7985.526,-9086.219,-7602.399,-8202.453,-8840.413,26228.989,26260.458,29313.032999999996,26775.419,28952.216999999997,30906.522
1,13450.579,15749.298,17481.349,26548.16,26617.725,NA,-6152.2,-6763.054,-6555.9349999999995,-10322.832999999999,-9364.137,NA,19602.779,22512.352,24037.284,36870.993,35981.862,NA
1,9217.266,10064.187,8751.537,8020.179,NA,NA,-8248.384,-9886.132000000001,-8784.827000000001,-8940.938,NA,NA,17465.65,19950.319000000003,17536.364,16961.117,NA,NA
1,18337.533,25142.55,26481.992,28050.986,28430.234,NA,-5367.305,-8855.342,-9351.505,-9084.257,-9819.137,NA,23704.838,33997.892,35833.496999999996,37135.243,38249.371,NA
1,9961.72,9506.076,9456.817,11614.468,10946.668,NA,-3301.669,-3485.215,-3333.972,-4617.355,-3739.837,NA,13263.389,12991.291,12790.788999999999,16231.823,14686.505,NA
1,6675.628,6577.2,7021.673,5834.829,6342.644,NA,-4040.433,-4196.581,-4778.052,-3527.2290000000003,-3793.532,NA,10716.061,10773.780999999999,11799.724999999999,9362.058,10136.176,NA
1,2586.503,2977.148,4694.709,5564.475,3429.922,NA,-1052.481,-1436.006,-3141.707,-3548.791,-1235.382,NA,3638.9840000000004,4413.154,7836.415999999999,9113.266,4665.304,NA
1,923.453,1016.798,1071.248,1104.478,1213.025,NA,-178.189,-148.154,-130.648,-139.053,-179.11,NA,1101.642,1164.952,1201.896,1243.531,1392.1350000000002,NA
1,3724,4649,4672,5056,5893,NA,-4637,-5302,-4357,-4838,-4925,NA,8361,9951,9029,9894,10818,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,26422.732,27735.991,29020.288,28523.547,31643.081,NA,-21989.813,-5552.795,-6283.8330000000005,-2935.267,-5173.907999999999,NA,48412.545,33288.786,35304.121,31458.814,36816.989,NA
1,19244.989,91309.221,79862.094,83754.192,74538.343,NA,-93311.863,-200227.114,-233161.544,-264312.8,-291179.958,NA,112556.852,291536.335,313023.638,348066.99199999997,365718.301,NA
1,15170,17716,19628,21592,22137,NA,-6046,-6842,-7321,-7768,-8279,NA,21216,24558,26949,29360,30416,NA
1,9223.30481557454,14794.7381983841,15125.1394783106,12882.4198945849,NA,NA,-3007.90950238249,-3651.47193827992,-1408.76479546568,-713.276501643577,NA,NA,12231.21431795703,18446.21013666402,16533.90427377628,13595.696396228477,NA,NA
1,7690.985,8103.768,7196.657,6233.225,5628.822,NA,-5174.4710000000005,-5354.028,-4426.31,-3518.54,-3013.505,NA,12865.456,13457.796,11622.967,9751.765,8642.327000000001,NA
1,11072.97,11579.217,23363.942,23087.947,22277.681,NA,-1773.229,-1660.548,-12491.809,-12288.731,-10237.23,NA,12846.198999999999,13239.765000000001,35855.751,35376.678,32514.911,NA
1,3856,5615,5850,12711,14473,NA,-3377,-5080,-7409,-15165,-19310,NA,7233,10695,13259,27876,33783,NA
1,8973.848,10074.504,6417.162,8322.239,8043.414,NA,-4076.9399999999996,-3091.12,-2899.1620000000003,-2470.5350000000003,-5717.131,NA,13050.788,13165.624,9316.324,10792.774,13760.545,NA
29,17154.09,18563.971,20110.676,20515.675,20680.742,NA,-5217.307,-5350.421,-6350.647,-5603.705,-4867.285,NA,22371.397,23914.392,26461.323,26119.379999999997,25548.027,NA
1,7981.247,8124.414,13111.786,13637.772,15205.353,NA,-5259.509999999999,-4828.616,-10269.575,-9824.009,-10316.573,NA,13240.757,12953.029999999999,23381.361,23461.781000000003,25521.926,NA
31,16213.887,18106.019,18142.767,20445.745,22785.567,NA,-5542.04,-7086.338,-7077.482,-8118.25,-10844.229,NA,21755.927,25192.357,25220.249,28563.995,33629.796,NA
1,9665.807,10296.976,10389.62,10490.169,8281.539,NA,-6968.816000000001,-7134.528,-6388.783,-6429.93,-4111.456,NA,16634.623,17431.504,16778.403000000002,16920.099000000002,12392.995,NA
1,10646.887,8530.255,9143.386,11963.499,NA,NA,-3106.575,-1765.6670000000001,-1746.463,-1410.778,NA,NA,13753.462,10295.921999999999,10889.849,13374.277,NA,NA
46,10879.4528035552,NA,11086.1698074914,11983.1859792836,6794.27083634905,NA,-9582.178522655531,NA,-9715.37089972236,-10940.03887644631,-7789.912136880521,NA,20461.63132621073,NA,20801.54070721376,22923.22485572991,14584.18297322957,NA
1,109.281220103947,78.4961089243311,693.082101956074,337.125262416519,125.365213695843,NA,-101.982552782479,-70.5475291152353,-684.610600441157,-328.709288214567,-115.977269879359,NA,211.263772886426,149.04363803956642,1377.692702397231,665.8345506310859,241.34248357520198,NA
1,32574.424,21351.755,19384.276,20718.954,21862.987,NA,-27205.471,-15530.293999999998,-13686.194,-14443.853,-12614.645,NA,59779.895000000004,36882.049,33070.47,35162.807,34477.632,NA
1,14029.685,14516.884,15533.937,18938.368,19683.693,NA,-12853.196,-13221.662,-13645.542000000001,-17179.441,-17165.6,NA,26882.881,27738.546000000002,29179.479,36117.808999999994,36849.293,NA
1,11660.944,12205.701,15574.723,17138.473,15082.334,NA,-6261.948,-6254.125,-9199.677,-10534.931,-10005.747,NA,17922.892,18459.826,24774.4,27673.404000000002,25088.081,NA
1,7567.74,8017.306,7892.828,9350.751,8430.015,NA,-5348.4749999999995,-5653.883,-5129.615,-5912.341,-3123.926,NA,12916.215,13671.188999999998,13022.443,15263.092,11553.940999999999,NA
1,3726.006,6663.178,5530.332,6441.423,4078.089,NA,-3732.515,-6946.136,-5746.113,-6710.791,-4393.93,NA,7458.521,13609.314,11276.445,13152.214,8472.019,NA
14,15510.4143764151,16866.047560047,14736.2125100595,15627.6884193097,17855.1879255365,NA,-1025.635842817379,-1202.339195411046,-873.4106337242764,-1233.506137060845,-1537.974157998335,NA,16536.05021923248,18068.386755458047,15609.623143783776,16861.194556370545,19393.162083534833,NA
1,34977.466,36801.869,36182.233,38213.454,36339.902,NA,-665.568,-1085.297,-962.906,-565.241,-439.5,NA,35643.034,37887.166,37145.139,38778.695,36779.402,NA
1,4632.336,4804.223,5081.283,5426.511,5895.05,NA,-4869.001,-4728.572,-5281.814,-5257.593,-5723.581,NA,9501.337,9532.795,10363.097000000002,10684.104,11618.631000000001,NA
24,15581.406,17115.93,19419.876,20174.053,19394.395,NA,-9532.925,-9912.404,-11491.301,-12060.813,-12505.07,NA,25114.331,27028.334000000003,30911.177,32234.866,31899.465,NA
31,3822.886,4442.626,3981.514,3532.723,3091.882,NA,-2908.5739999999996,-3570.717,-3134.6859999999997,-2737.406,-2445.964,NA,6731.459999999999,8013.343000000001,7116.2,6270.129,5537.846,NA
54,9217.40024683631,9572.32421358844,10403.4043017832,13243.9086745869,13645.0220148451,NA,-5880.4929041840005,-5482.47766937706,-5518.17897667543,-8342.83998544382,-8014.159464998111,NA,15097.893151020311,15054.8018829655,15921.58327845863,21586.74866003072,21659.18147984321,NA
39,9078.2,10589.424,NA,9925.013,10850.967,NA,-5566.225,-6393.8460000000005,NA,-5245.635,-5674.188999999999,NA,14644.425000000001,16983.27,NA,15170.648000000001,16525.156,NA
1,38707.37,38195.487,44810.97,45722.566,NA,NA,-20805.101,-19638.766,-22992.438,-24180.824999999997,NA,NA,59512.471000000005,57834.253,67803.408,69903.391,NA,NA
1,20771.382,20872.813,19566.324,22781.108,20699.205,21829.512,-7403.618,-8774.205,-10166.641,-12908.178,-10481.634,-12111.081,28175,29647.017999999996,29732.965,35689.286,31180.839,33940.593
1,9382,10888,12336,13721,9276,NA,-3031,-3397,-3640,-3784,-3265,NA,12413,14285,15976,17505,12541,NA
1,7622,NA,6873,5794,5454,NA,-18205,NA,-21197,-21078,-21317,NA,25827,NA,28070,26872,26771,NA
1,237913,232788,224122,196444,191445,NA,-9019,-9782,-8766,-3694,-4042,NA,246932,242570,232888,200138,195487,NA
1,7371.368,17415.529,22712.085,21073.006,21015.816,NA,-7234.173,-17591.221999999998,-24163.835,-22813.994,-8821.746,NA,14605.541000000001,35006.751,46875.92,43887,29837.561999999998,NA
46,12804.94543619,10174.5522905148,7969.61397797293,5554.25530621514,NA,NA,-50437.75413292392,-49709.16037761041,-49456.90452970348,-45975.648583949755,NA,NA,63242.69956911392,59883.71266812521,57426.51850767641,51529.9038901649,NA,NA
1,12771.962,15909.344,14540.658,13719.857,15535.915,16755.824,-4604.638,-6825.736,-4543.013,-2995.138,-4403.361,-4687.089,17376.6,22735.079999999998,19083.671,16714.995,19939.276,21442.913
1,8284.642,8671.725,9007.333,9495.799,9670.093,NA,-1444.8419999999999,-1531.959,-1686.152,-1767.569,-1537.028,NA,9729.484,10203.684000000001,10693.485,11263.368,11207.121000000001,NA
1,7677.831,8010.409,38605.785,42522.961,44244.523,NA,-278.009,-78.013,-4629.948,-1247.862,-2711.265,NA,7955.84,8088.422,43235.73300000001,43770.823000000004,46955.788,NA
1,9547.026,10535.582,10760.539,10500.885,9975.529,NA,-6118.706,-6330.7970000000005,-7246.524,-7306.934,-5955.938,NA,15665.732,16866.379,18007.063000000002,17807.819,15931.467,NA
1,6988.837,7700.08,7410.314,7740.268,7707.446,NA,-4828.656,-5367.521,-5031.987,-4903.707,-4148.615,NA,11817.493,13067.600999999999,12442.301,12643.975,11856.061,NA
1,4198.611,4639.197,3546.678,3486.997,3951.395,NA,-3440.551,-4107.023,-3495.684,-3447.644,-3870.587,NA,7639.162,8746.220000000001,7042.362,6934.641,7821.982,NA
1,46555,37964,47646,60005,6989,NA,-49463,-35753,-41324,-48860,-1911,NA,96018,73717,88970,108865,8900,NA
1,12916.083,13519.531,12294.196,15416.868,15034.804,NA,-7380.311,-7793.91,-6353.9929999999995,-8770.439,-8350.922999999999,NA,20296.394,21313.441,18648.189,24187.307,23385.727,NA
1,93824,94936,101130,102423,102884,NA,-31104,-30601,-30453,-30231,-30648,NA,124928,125537,131583,132654,133532,NA
1,43905.444,44098.651,77475.86,66251.688,60806.724,NA,-26904.082000000002,-8657.751,-2758.905,-1612.655,-3121.949,NA,70809.52600000001,52756.402,80234.765,67864.343,63928.673,NA
1,8295.941,9302.086,11184.211,12006.26,12818.948,13081.58,-3564.848,-3557.6760000000004,-5706.081,-5681.2880000000005,-5728.406,-5695.512,11860.789,12859.761999999999,16890.292,17687.548000000003,18547.354,18777.092
1,6833.446,7821.874,8453.413,8223.324,9575.106,NA,-2789.8869999999997,-3367.332,-3693.992,-3179.038,-3838.108,NA,9623.332999999999,11189.206,12147.405,11402.362000000001,13413.214,NA
1,5200.84196403104,5447.54004891041,5444.23624670095,5439.12098982567,4879.96575444681,NA,-3001.018731509709,-3203.711924580602,-3144.733240248831,-3617.065578690707,-3161.1759671495092,NA,8201.860695540749,8651.251973491013,8588.96948694978,9056.186568516378,8041.141721596319,NA
1,6384.423,7260.691,7814.391,6745.796,6087.813,NA,-2912.2419999999997,-5232.304,-5223.404,-4691.884999999999,-4319.6849999999995,NA,9296.664999999999,12492.994999999999,13037.795,11437.681,10407.498,NA
1,32369.0651771452,35062.5426991195,39029.9941335966,43521.4751652841,NA,NA,-16553.70394579088,-18794.9863627329,-21990.60917244058,-29041.88915215352,NA,NA,48922.76912293608,53857.5290618524,61020.603306037185,72563.36431743762,NA,NA
1,6748.823,6631.84,6445.477,7019.589,7949.405,7435.758,-4164.938,-5121.654,-4605.99,-5706.245,-6360.582,-6232.112,10913.761,11753.494,11051.467,12725.833999999999,14309.987000000001,13667.869999999999
1,39475.644,45070.812,45838.839,46323.592,48588.356,NA,-11274.156,-10350.142,-10179.702000000001,-10314.915,-11102.996,NA,50749.8,55420.954,56018.541,56638.507,59691.352,NA
1,4670.288,4584.125,4343.62,4019.861,4061.183,4485.705,-1201.178,-1135.9450000000002,-1161.305,-1142.084,-1286.272,-1200.342,5871.465999999999,5720.07,5504.925,5161.945,5347.455,5686.0470000000005
1,32654,33275,37624,37214,37027,NA,-9424,-8038,-8034,-7466,-6376,NA,42078,41313,45658,44680,43403,NA
1,7552.571,7602.234,8100.92,8245.083,9129.003,10797.261,-2256.189,-2008.172,-1788.4560000000001,-1629.274,-1930.5069999999998,-2552.108,9808.76,9610.406,9889.376,9874.357,11059.51,13349.369
1,NA,2366.575,4031.112,5109.139,3805.893,NA,NA,-1935.801,-2495.961,-3140.746,-1517.962,NA,NA,4302.376,6527.073,8249.885,5323.855,NA
1,10476.32,10682.791,12855.008,15181.05,15067.977,NA,-3984.073,-3527.431,-4693.612,-7531.499,-7255.607,NA,14460.393,14210.222,17548.62,22712.549,22323.584000000003,NA
1,32296.5343493185,32009.3809113251,NA,NA,NA,NA,-5364.63444262619,-4295.44093247063,NA,NA,NA,NA,37661.16879194469,36304.82184379573,NA,NA,NA,NA
1,5949.328,5468.231,6778.704,4994.62,4880.391,NA,-2094.451,-1420.842,-2771.9649999999997,-1612.448,-1700.1,NA,8043.779,6889.073,9550.669,6607.068,6580.491,NA
1,5221.182,6098.908,5956.704,6452.874,6365.187,NA,-3533.481,-5110.01,-5105.285,-5310.435,-5946.136,NA,8754.663,11208.918000000001,11061.989,11763.309000000001,12311.323,NA
1,NA,NA,NA,NA,5004,NA,NA,NA,NA,NA,-4639,NA,NA,NA,NA,NA,9643,NA
1,2932.331,5925.942,7262.138,7321.416,8130.218,NA,-2066.288,-2694.036,-4539.246,-4565.101000000001,-4350.073,NA,4998.619000000001,8619.978,11801.384,11886.517,12480.291000000001,NA
1,10935.319,11758.991,12892.776,10996.555,11976.703,NA,-3546.902,-4169.225,-5207.4529999999995,-4455.062,-6060.370000000001,NA,14482.221,15928.216,18100.229,15451.617,18037.073,NA
1,2033.961,2249.292,2369.748,2678.703,3101.203,2932.767,-284.598,-331.531,-345.366,-429.743,-315.67100000000005,-334.531,2318.559,2580.823,2715.114,3108.446,3416.874,3267.298
1,5260.784,5542.692,5011.616,5352.326,5175.897,NA,-1260.407,-1416.693,-1198.556,-1647.019,-1594.797,NA,6521.191,6959.385,6210.1720000000005,6999.345,6770.6939999999995,NA
1,2848,4728,6555,9038,NA,NA,-2504,-4010,-5237,-6845,NA,NA,5352,8738,11792,15883,NA,NA
1,15359.221,18013.592,18736.998,19776.311,19644.515,NA,-9835.145,-11461.209,-11082.752,-11525.883,-10637.168,NA,25194.366,29474.801,29819.75,31302.194000000003,30281.682999999997,NA
1,5374.509,6706.189,7340.484,8099.33,6967.181,NA,-1695.757,-2141.633,-1966.695,-2157.681,-2584.718,NA,7070.266,8847.822,9307.179,10257.011,9551.899,NA
1,NA,NA,7340.58,8099.366,7582.242,NA,NA,NA,-1966.695,-2157.68,-3199.806,NA,NA,NA,9307.275,10257.046,10782.048,NA
1,13082.276,13684.744,15059.661,15819.12,16940.852,NA,-1383.737,-1233.993,-1255.417,-822.215,-1119.126,NA,14466.012999999999,14918.737000000001,16315.078,16641.335,18059.978,NA
1,16128.257,16497.675,16622,16376.099,16496.949,NA,-9662.105,-10080.402,-10248.534,-9515.751,-9362.807,NA,25790.362,26578.076999999997,26870.534,25891.85,25859.756,NA
58,3408.616,4195.09,7118.099,8235.348,8240.175,8766.987,-749.564,-1064.504,-300.295,-710.174,-599.201,-531.006,4158.18,5259.594,7418.394,8945.522,8839.376,9297.992999999999
1,2108.399,2029.659,2499.652,2557.475,2540.731,NA,-409.63599999999997,-307.557,-454.265,-458.634,-413.387,NA,2518.035,2337.2160000000003,2953.917,3016.109,2954.1180000000004,NA
1,20432.572,20354.414,20888.099,21435.722,19282.524,NA,-14379.961,-14583.415,-13955.223,-13451.713,-12612.886999999999,NA,34812.532999999996,34937.829,34843.322,34887.435,31895.411,NA
1,7442.301,6721.525,6545.582,7025.742,7166.368,NA,-7023.966,-6580.794,-6628.512,-6906.76,-7297.366,NA,14466.267,13302.319,13174.094000000001,13932.502,14463.734,NA
56,7653.187,8884.21,9139.691,10859.333,11768.951,14453.699,-405.361,-392.054,-379.686,-401.288,-404.65,-488.292,8058.548,9276.264,9519.377,11260.621000000001,12173.600999999999,14941.991
1,7802.698,11964.668,7935.831,9415.472,11004.422,NA,-5947.512000000001,-9978.705999999998,-6265.501,-7967.04,-9708.672999999999,NA,13750.210000000001,21943.373999999996,14201.332,17382.512,20713.095,NA
1,4906.91,3937.358,4213.133,4435.153,NA,NA,-1844.55,-860.575,-1183.7569999999998,-1622.929,NA,NA,6751.46,4797.933,5396.889999999999,6058.082,NA,NA
1,21386.367,25703.301,26522.099,31278.157,40859.398,NA,-10400.873,-15711.342999999999,-17156.597999999998,-19702.876,-21707.848,NA,31787.239999999998,41414.644,43678.697,50981.032999999996,62567.246,NA
30,31002.171,29622.733,31022.758,33380.769,34825.408,NA,-13449.627,-11628.766,-12377.171999999999,-14618.064,-14741.738000000001,NA,44451.797999999995,41251.498999999996,43399.93,47998.833,49567.14600000001,NA
1,3154.741,3510.259,3867.565,3086.78,3369.981,NA,-2521.162,-2860.4379999999996,-3315.8219999999997,-2405.4750000000004,-2702.076,NA,5675.903,6370.697,7183.387,5492.255000000001,6072.057000000001,NA
1,17108.4960591159,16805.9277155323,30161.076111009,25828.5152383353,21866.5126691554,NA,-20563.0149392822,-19667.444850442,-35383.6039237212,-37057.3871241336,-34820.212792292,NA,37671.510998398095,36473.3725659743,65544.6800347302,62885.9023624689,56686.72546144739,NA
1,143.795,63,2293.816,2616.172,2463.902,2864.73,-80.795,0,-2085.565,-2157.5879999999997,-1988.878,-2337.759,224.58999999999997,63,4379.380999999999,4773.76,4452.78,5202.489
1,2931.987,18146.539,16666.594,16528.902,14916.62,NA,-2670.004,-15465.155999999999,-13371.193,-14412.733,-12909.61,NA,5601.991,33611.695,30037.787,30941.635,27826.230000000003,NA
1,1564.127,1668.968,1449.806,1378.295,2123.527,NA,-1053.751,-1049.0510000000002,-797.927,-977.363,-1695.562,NA,2617.8779999999997,2718.0190000000002,2247.733,2355.6580000000004,3819.089,NA
1,2093,2172,2707,1330,1845,NA,-970,-939,-1269,-760,-1105,NA,3063,3111,3976,2090,2950,NA
1,5695.633,5924.391,6392.474,6649.015,8460.3,NA,-3477.2580000000003,-3237.651,-3442.974,-3231.2039999999997,-4711.398999999999,NA,9172.891,9162.042,9835.448,9880.219000000001,13171.698999999999,NA
1,14938,14463,15347,14969,14465,NA,-12621,-12172,-12852,-13471,-13441,NA,27559,26635,28199,28440,27906,NA
1,7092.581,7256.404,7763.521,7648.028,8273.551,NA,-4488.476000000001,-4160.504,-3932.2690000000002,-3501.207,-3440.375,NA,11581.057,11416.908,11695.79,11149.235,11713.926,NA
1,1876,3315.971,4331.214,3709.709,1665.287,NA,-1106,-2496.688,-3375.958,-2616.754,-602.658,NA,2982,5812.659,7707.1720000000005,6326.463,2267.945,NA
46,3819.588,8464.842,10016.805,10565.033,11775.084,NA,-80.17,-639.5089999999999,-850.618,-671.736,-877.217,NA,3899.7580000000003,9104.351,10867.423,11236.769,12652.301000000001,NA
1,23393,31412,42236,47807,70904,NA,-23100,-23019,-26607,-29732,-50245,NA,46493,54431,68843,77539,121149,NA
1,22883.657,24899.039,24846.833,23214.151,19332.65,NA,-18978.875,-20462.718,-20659.970999999998,-22054.914,-3714.482,NA,41862.532,45361.757,45506.804,45269.065,23047.132,NA
1,20092.1626412675,21936.4133347591,22340.7771949231,22268.9810899996,23502.0311020593,NA,-4264.14570243046,-4836.303842998101,-4702.069351920471,-4344.56046869699,-3562.2094249865804,NA,24356.308343697958,26772.7171777572,27042.846546843568,26613.54155869659,27064.24052704588,NA
1,5690,5017,4930,4897,2655,NA,-1058,-1804,-1589,-1431,-1393,NA,6748,6821,6519,6328,4048,NA
44,51326.082,48562.439,50853.387,52136.606,51204.15,56348.483,-4165.614,-8391.131,-9387.835000000001,-9471.954,-8583.965,-10418.283,55491.696,56953.57,60241.222,61608.56,59788.115000000005,66766.766
1,8218.012,10254.904,5656.455,5865.958,NA,NA,-8092.277999999999,-10128.996,-6758.398,-6590.224,NA,NA,16310.29,20383.9,12414.853,12456.182,NA,NA
1,17060.918,17812.262,20614.326,20933.085,22069.027,NA,-2501.607,-1768.2150000000001,-2449.925,-2340.455,-5246.638000000001,NA,19562.525,19580.477,23064.251,23273.54,27315.665,NA
1,1089.87062732327,1045.45704164908,869.405317187733,1368.16172429208,NA,NA,-978.908263138,-932.051977357695,-766.288032592118,-1184.3073621356,NA,NA,2068.77889046127,1977.5090190067751,1635.693349779851,2552.46908642768,NA,NA
1,NA,NA,1851.889,1485.304,2496.958,NA,NA,NA,-2074.332,-1992.1,-2967.28,NA,NA,NA,3926.2209999999995,3477.404,5464.238,NA
1,30107.292,30044.407,31310.187,NA,NA,NA,-58871.301999999996,-60370.405,-53000.431,NA,NA,NA,88978.594,90414.812,84310.618,NA,NA,NA
1,2976.409,5108.588,5916,8921.292,11080.661,12047.137,-3262.216,-5541.16,-6603.1539999999995,-9624.891,-12553.627,-12850.561,6238.625,10649.748,12519.153999999999,18546.182999999997,23634.288,24897.698
1,31321.382,34002.961,47703.181,40113.38,42115.346,NA,-4113.232,-6057.926,-8416.815,-8160.265,-8587.494999999999,NA,35434.614,40060.887,56119.996,48273.645,50702.841,NA
1,13978.498,12218.67,9582.792,9101.694,9083.136,NA,-11515.486,-8914.43,-6663.147999999999,-6204.616,-6042.749,NA,25493.984,21133.1,16245.939999999999,15306.31,15125.885,NA
1,5469.549,7805.102,7133.105,8161.438,8738.093,NA,-2020.123,-3699.812,-2640.265,-3444.9069999999997,-4393.124,NA,7489.6720000000005,11504.914,9773.369999999999,11606.345,13131.217,NA
1,3637.771,4485.741,5898.759,6333.935,7323.465,NA,-417.915,-534.911,-745.77,-2598.751,-2721.3120000000004,NA,4055.686,5020.652,6644.529,8932.686000000002,10044.777,NA
1,NA,4769,2535,3245,3391,NA,NA,-5036,-2901,-3736,-3542,NA,NA,9805,5436,6981,6933,NA
1,16983.785,18661.13,20898.818,27426.921,24362.848,NA,-9202.236,-6382.902,-5815.885,-9335.928,-7924.5869999999995,NA,26186.021,25044.032,26714.703,36762.849,32287.435,NA
1,6057.049,6194.973,6891.499,6737.93,10311.163,NA,-1537.771,-1317.909,-1257.391,-816.741,-3892.125,NA,7594.82,7512.882,8148.889999999999,7554.671,14203.288,NA
1,3057.46,3409.727,3970.216,4490.151,4797.566,NA,-711.043,-692.247,-914.901,-1099.531,-1016.591,NA,3768.503,4101.974,4885.117,5589.682,5814.157,NA
36,2761.615,2847.491,3039.541,3347.914,3710.391,NA,-1110.2759999999998,-2502.424,-2334.7569999999996,-2594.969,-2633.926,NA,3871.8909999999996,5349.915,5374.298,5942.883,6344.317,NA
1,12458.255,11663.98,11831.243,10154.557,NA,NA,-3119.6710000000003,-2732.273,-2245.7619999999997,-1752.298,NA,NA,15577.926,14396.253,14077.005000000001,11906.855000000001,NA,NA
1,27205.704,27148.893,27224.995,32148.03,36415.258,NA,-5858.139,-5764.914,-5354.544,-10021.508,-4141.4400000000005,NA,33063.843,32913.807,32579.538999999997,42169.538,40556.698000000004,NA
30,5260.305,5357.291,5359.886,5581.441,5969.084,NA,-2311.117,-2218.2690000000002,-2064.258,-2052.404,-2081.323,NA,7571.4220000000005,7575.56,7424.144,7633.844999999999,8050.406999999999,NA
1,8365.219,8809.577,9086.917,9496.409,10380.412,NA,-2650.842,-2651.103,-2522.6040000000003,-2334.886,-2388.822,NA,11016.061,11460.68,11609.521,11831.295,12769.234,NA
1,5339.564,5295.748,5247.317,5369.526,5066.838,NA,-427.339,-526.668,-501.715,-600.4590000000001,-420.53700000000003,NA,5766.903,5822.415999999999,5749.032,5969.985,5487.375,NA
1,7223.007,7223.962,6722.254,6651.968,6658.312,NA,-4242.431,-4417.27,-4095.9939999999997,-3753.5409999999997,-3897.433,NA,11465.437999999998,11641.232,10818.248,10405.509,10555.744999999999,NA
1,3934.959,4359.468,4561.739,4967.194,5822.085,NA,-1711.598,-2109.619,-1945.837,-1650.942,-2153.907,NA,5646.557,6469.0869999999995,6507.575999999999,6618.136,7975.992,NA
1,1412,1985,1808,2646,1755,NA,-556,-862,-1083,-1030,-1072,NA,1968,2847,2891,3676,2827,NA
1,6282.81088031772,6969.59855685343,NA,6476.54449858331,5393.66109078896,NA,-5699.508644183969,-6326.905313048659,NA,-6197.368297123725,-5246.028223026898,NA,11982.31952450169,13296.503869902088,NA,12673.912795707034,10639.689313815858,NA
